Y,X,OBJECTID,ZONE,DESCRIPTIO,Zone_label,General_Zo,SHAPE_Leng,SHAPE_Area,Comy_detec,wd100,wd200,wd300,wd400,wd500,egc100,egc200,egc300,egc400,egc500,betcen100,betcen200,betcen300,betcen400,betcen500
5928231.57700601,1748838.92811186,2001,31,Recreation 1,1,Recreation 1 - 4,119.85163,738.40283,13,274.84942,1625.99903,3250.66358,5223.21015,11805.16872,0.00591,0.01733,0.01410,0.01205,0.01441,4.00000,8.72381,473.69101,51.72907,5543.45178
5928209.8910431,1755350.94307069,2002,57,Residential 7,7,Residential 1 - 7,181.04111,2023.13764,15,432.55592,1117.05233,3168.03816,6156.83061,9735.36221,0.02039,0.01834,0.01297,0.01148,0.00942,1.00000,2.00000,3607.15036,27702.67718,89122.16234
5928170.39960086,1753627.63125521,2003,5611,Residential 6A1,6A1,Residential 1 - 7,381.57254,7173.51075,15,357.09123,932.47370,4541.88589,8835.73525,19937.64816,0.00591,0.02316,0.02288,0.03177,0.04441,4.00000,139440.00000,869733.68180,267973.57960,84923.51807
5928134.71335013,1753536.03889296,2004,541,Residential 4A,4A,Residential 1 - 7,776.55126,21796.88531,15,196.64068,1137.95952,5331.13214,9604.43294,16675.90266,0.00346,0.01390,0.02215,0.03482,0.04157,0.00000,0.00000,122980.18270,121918.38790,12752.87085
5928208.75189494,1758603.82758425,2005,31,Recreation 1,1,Recreation 1 - 4,271.10209,1087.54882,14,0.00000,1426.50549,2546.30424,5860.81507,9324.91976,0.00000,0.01343,0.01207,0.01654,0.01920,0.00000,987.51472,922.33169,7.34631,18.88741
5928215.59618388,1756205.25084706,2006,101,Business 1,1,Business 1 - 12,149.74016,1162.06148,25,150.82166,1221.65875,2189.77148,9505.15267,11417.13000,0.00216,0.00929,0.00759,0.01504,0.01159,0.00000,52.00000,3932.37501,383504.31070,395296.18480
5928210.66349468,1754285.20582455,2007,101,Business 1,1,Business 1 - 12,124.60598,1005.56936,15,0.00000,756.62918,2293.27028,7274.93477,16559.77013,0.00000,0.00321,0.00525,0.01534,0.02386,0.00000,5484.00000,79829.52893,368790.25520,489838.65370
5928203.76503874,1751771.81390542,2008,32,Recreation 2,2,Recreation 1 - 4,153.54827,1061.23692,12,0.00000,1036.86057,5030.59762,9390.83994,18391.66559,0.00000,0.01009,0.02546,0.03900,0.04807,0.00000,183.74706,11904.60190,74388.04465,45431.22984
5928187.58286333,1755286.69917608,2009,541,Residential 4A,4A,Residential 1 - 7,188.67786,2022.57643,15,560.39724,2054.07411,3192.37071,4455.95987,7978.31327,0.02580,0.03577,0.01406,0.01097,0.00964,16.00000,22646.11905,4776.05978,63.69364,45454.01363
5927951.14010059,1752935.11888186,2010,541,Residential 4A,4A,Residential 1 - 7,2112.12705,147580.56964,12,0.00000,0.00000,2115.33856,7864.75395,16245.40836,0.00000,0.00000,0.00485,0.01909,0.02937,0.00000,0.00000,6490.62988,80734.13727,143646.04750
